"Symbol";"ContractSize";"Digits";"Currency";"Price";"Category";"Sub_Category"
"PALLD#SEP21";100.0;2;"USD";2334.75;"Forex";"Fixed"
"COTT2-OCT21";100.0;2;"USD";95.76;"Commodities";"Commodities"
"BRIGHTHG";100.0;2;"USD";10.11;"Shares";"USD"
"CONFLUENT";100.0;2;"USD";61.29;"Shares";"USD"
"Marqetta";100.0;2;"USD";26.5;"Shares";"USD"
"Crosair";5.0;2;"USD";29.02;"Shares";"USD"
"Riot";5.0;2;"USD";32.1;"Shares";"USD"
"Canann";5.0;2;"USD";9.57;"Shares";"USD"
"Blackberry";100.0;2;"USD";10.82;"Shares";"USD"
"KossCorp";2.0;2;"USD";19.17;"Shares";"USD"
"Clover";100.0;2;"USD";10.79;"Shares";"USD"
"ContextLogic";100.0;2;"USD";7.38;"Shares";"USD"
"GEOGroup";5.0;2;"USD";6.83;"Shares";"USD"
"Biogen";100.0;2;"USD";327.08;"Shares";"USD"
"SENS";100.0;2;"USD";3.87;"Shares";"USD"
"JDCom";100.0;2;"USD";83.22;"Shares";"USD"
"COCOA-SEP21";100.0;2;"USD";2694.3;"Commodities";"Commodities"
"UPSTART";100.0;2;"USD";262.6;"Shares";"USD"
"CELSIUS";100.0;2;"USD";85.76;"Shares";"USD"
"SECONDSIGHT";10.0;2;"USD";3.66;"Shares";"USD"
"VANECK";10.0;2;"USD";26.54;"Shares";"USD"
"HYLIION";100.0;2;"USD";9.25;"Shares";"USD"
"CANOO";100.0;2;"USD";7.8;"Shares";"USD"
"CLEANENERGY";100.0;2;"USD";7.95;"Shares";"USD"
"ENPHASE";100.0;2;"USD";168.72;"Shares";"USD"
"GOLDFIELDS";100.0;2;"USD";8.92;"Shares";"USD"
"TRIPADVISOR";100.0;2;"USD";34.7;"Shares";"USD"
"FEDEX";100.0;2;"USD";263.6;"Shares";"USD"
"UNITEDPARCEL";100.0;2;"USD";195.51;"Shares";"USD"
"PLAYTIKA";100.0;2;"USD";28.4;"Shares";"USD"
"SEA";100.0;2;"USD";350.86;"Shares";"USD"
"ACTIVISION";100.0;2;"USD";78.16;"Shares";"USD"
"Fastly";100.0;2;"USD";46.32;"Shares";"USD"
"DraftKings";100.0;2;"USD";63.57;"Shares";"USD"
"WellFargo";100.0;2;"USD";0.0;"Shares";"USD"
"MICRONT";100.0;2;"USD";73.63;"Shares";"USD"
"ROBOLOX";100.0;2;"USD";84.94;"Shares";"USD"
"BILIBILI";100.0;2;"USD";91.04;"Shares";"USD"
"ElectArts";100.0;2;"USD";145.21;"Shares";"USD"
"ZYNGA";100.0;2;"USD";8.64;"Shares";"USD"
"SKILLZ";100.0;2;"USD";12.58;"Shares";"USD"
"SolarEdge";100.0;2;"USD";278.66;"Shares";"USD"
"SUNRUN";100.0;2;"USD";45.5;"Shares";"USD"
"FIRSTSOLAR";100.0;2;"USD";94.47;"Shares";"USD"
"SHOALSTECH";100.0;2;"USD";32.5;"Shares";"USD"
"SUNPOWER";100.0;2;"USD";21.96;"Shares";"USD"
"SUNNOVA";100.0;2;"USD";35.67;"Shares";"USD"
"CSOLAR";100.0;2;"USD";37.34;"Shares";"USD"
"ARRAY";100.0;2;"USD";19.73;"Shares";"USD"
"GBPZAR";100000.0;2;"ZAR";19.7018;"Forex";"Exotic"
"NANUSD";10.0;4;"USD";5.5649;"Cryptos";"Cryptos"
"CORN-SEP21";100.0;2;"USD";498.13;"Commodities";"Commodities"
"SBEAN-AUG21";100.0;2;"USD";1420.34;"Indecies";"USD"
"WHEATSEP21";100.0;2;"USD";708.9;"Commodities";"Commodities"
"CAC-AUG21";10.0;2;"EUR";6898.47;"Indecies";"EUR"
"IBEX-AUG21";100.0;2;"EUR";8993.0;"Indecies";"EUR"
"CAC#-AUG21";10.0;2;"EUR";6897.73;"Indecies";"EUR"
"IBEX#-AUG21";100.0;2;"EUR";8991.75;"Indecies";"EUR"
"FootLocker";100.0;2;"USD";53.47;"Shares";"USD"
"BestBuy";100.0;2;"USD";111.48;"Shares";"USD"
"AMD";100.0;2;"USD";109.04;"Shares";"USD"
"Kellogg";100.0;2;"USD";61.73;"Shares";"USD"
"BedBath";100.0;2;"USD";25.17;"Shares";"USD"
"CL-SEP21";1000.0;2;"USD";68.02;"Indecies";"USD"
"COFFE-SEP21";100.0;2;"USD";191.99;"Commodities";"Commodities"
"CL#-SEP21";1000.0;2;"USD";68.0;"Indecies";"USD"
"RICE-SEP21";100.0;2;"USD";13.03;"Commodities";"Commodities"
"EURZAR";100000.0;2;"ZAR";16.9122;"Forex";"Exotic"
"GBPDKK";100000.0;2;"DKK";8.66198;"Forex";"Exotic"
"GBPNOK";100000.0;2;"NOK";11.97411;"Forex";"Exotic"
"GBPSEK";100000.0;2;"SEK";11.856;"Forex";"Exotic"
"Xilinx";100.0;2;"USD";154.68;"Shares";"USD"
"Ocugen";100.0;2;"USD";7.3;"Shares";"USD"
"Booking";100.0;2;"USD";2337.89;"Shares";"USD"
"Expedia";100.0;2;"USD";147.49;"Shares";"USD"
"DuPont";100.0;2;"USD";71.41;"Shares";"USD"
"Oracle";100.0;2;"USD";88.72;"Shares";"USD"
"Jfrog";100.0;2;"USD";38.85;"Shares";"USD"
"RoyalBC";100.0;2;"USD";102.68;"Shares";"USD"
"DiDiGlobal";100.0;2;"USD";9.68;"Shares";"USD"
"BRNT-OCT21";1000.0;2;"USD";72.56;"Indecies";"USD"
"NGAS-SEP21";10000.0;2;"USD";3.838;"Indecies";"USD"
"RBOB-SEP21";42000.0;2;"USD";2.2856;"Indecies";"USD"
"PLAT-AUG21";100.0;2;"USD";988.49;"Indecies";"USD"
"COPP-AUG21";10000.0;2;"USD";4.1411999999999995;"Indecies";"USD"
"NIFTY-AUG21";1000.0;2;"INR";16416.55;"Indecies";"INR"
"GC-AUG21";100.0;2;"USD";1779.3;"Indecies";"USD"
"HOIL-SEP21";42000.0;2;"USD";2.1065;"Indecies";"USD"
"NGAS#-SEP21";10000.0;2;"USD";3.836;"Indecies";"USD"
"NIFTY#AUG21";1000.0;2;"INR";16393.9;"Indecies";"INR"
"ViacomCBS";100.0;2;"USD";41.62;"Shares";"USD"
"IronSource";100.0;2;"USD";10.2;"Shares";"USD"
"Chemours";100.0;2;"USD";32.79;"Shares";"USD"
"Cliffs";100.0;2;"USD";23.93;"Shares";"USD"
"SoFiTech";100.0;2;"USD";15.83;"Shares";"USD"
"PubMatic";100.0;2;"USD";29.32;"Shares";"USD"
"Root";100.0;2;"USD";5.91;"Shares";"USD"
"Intellia";100.0;2;"USD";163.26;"Shares";"USD"
"C3AI";100.0;2;"USD";51.43;"Shares";"USD"
"Riley";100.0;2;"USD";66.15;"Shares";"USD"
"PrincipalFG";100.0;2;"USD";65.31;"Shares";"USD"
"Veon";100.0;2;"USD";2.11;"Shares";"USD"
"Alector";100.0;2;"USD";26.72;"Shares";"USD"
"ROBINHOOD";100.0;2;"USD";41.73;"Shares";"USD"
"ANALOG";100.0;2;"USD";163.26;"Shares";"USD"
"BROADCOM";100.0;2;"USD";496.58;"Shares";"USD"
"BRUNSWICK";100.0;2;"USD";95.83;"Shares";"USD"
"CAMPING";100.0;2;"USD";39.71;"Shares";"USD"
"CARVANA";100.0;2;"USD";329.85;"Shares";"USD"
"CapitalOne";100.0;2;"USD";156.91;"Shares";"USD"
"Conoco";100.0;2;"USD";55.97;"Shares";"USD"
"EMERSON";100.0;2;"USD";103.68;"Shares";"USD"
"EOGResources";100.0;2;"USD";67.67;"Shares";"USD"
"ETSY";100.0;2;"USD";216.44;"Shares";"USD"
"FREEPORT";100.0;2;"USD";36.35;"Shares";"USD"
"MARRIOT";100.0;2;"USD";134.03;"Shares";"USD"
"MicroVision";100.0;2;"USD";14.25;"Shares";"USD"
"QORVO";100.0;2;"USD";182.69;"Shares";"USD"
"Roku";100.0;2;"USD";342.94;"Shares";"USD"
"SEMICON";100.0;2;"USD";580.0;"Shares";"USD"
"SIMONProp";100.0;2;"USD";134.57;"Shares";"USD"
"SMEnergy";100.0;2;"USD";19.55;"Shares";"USD"
"TInstrument";100.0;2;"USD";189.42;"Shares";"USD"
"Walgreens";100.0;2;"USD";51.0;"Shares";"USD"
"SBEAN-SEP21";100.0;2;"USD";1274.82;"Commodities";"Commodities"
"LucidGroup";10.0;2;"USD";19.63;"Shares";"USD"
"APACorp";100.0;2;"USD";19.5;"Shares";"USD"
"Antero";100.0;2;"USD";15.91;"Shares";"USD"
"Callon";100.0;2;"USD";33.52;"Shares";"USD"
"Centennial";100.0;2;"USD";5.23;"Shares";"USD"
"HCAHealth";100.0;2;"USD";252.12;"Shares";"USD"
"HHoldings";100.0;2;"USD";131.41;"Shares";"USD"
"LOilfield";100.0;2;"USD";10.49;"Shares";"USD"
"Marathon";100.0;2;"USD";39.36;"Shares";"USD"
"Marvell";100.0;2;"USD";61.22;"Shares";"USD"
"Matador";100.0;2;"USD";28.28;"Shares";"USD"
"Overstock";100.0;2;"USD";70.3;"Shares";"USD"
"RHardware";100.0;2;"USD";664.14;"Shares";"USD"
"SPartners";100.0;2;"USD";50.29;"Shares";"USD"
"STPT";100.0;2;"USD";6.7;"Shares";"USD"
"CL-OCT21";1000.0;2;"USD";69.2;"Energy";"Energy"
"CAC-SEP21";10.0;2;"EUR";6698.5;"Indecies";"Indecies"
"IBEX-SEP21";100.0;2;"EUR";8862.0;"Indecies";"Indecies"
"CL#-OCT21";1000.0;2;"USD";69.19;"Forex";"Fixed"
"CAC#-SEP21";10.0;2;"EUR";6697.5;"Forex";"Fixed"
"IBEX#-SEP21";100.0;2;"EUR";8860.75;"Forex";"Fixed"
"NIFTY-SEP21";1000.0;2;"INR";17383.5;"Indecies";"Indecies"
"GC-SEP21";100.0;2;"USD";1796.9;"Commodities";"Commodities"
"NGAS-OCT21";10000.0;2;"USD";4.643;"Energy";"Energy"
"PLAT-SEP21";100.0;2;"USD";997.9;"Commodities";"Commodities"
"COPP-SEP21";10000.0;2;"USD";4.225;"Commodities";"Commodities"
"NIFTY#SEP21";1000.0;2;"INR";17360.33;"Forex";"Fixed"
"NGAS#-OCT21";10000.0;2;"USD";4.641;"Forex";"Fixed"
"PSGUSD";1.0;3;"USD";28.202;"Cryptos";"Cryptos"
"RBOB-OCT21";42000.0;2;"USD";2.1528;"Energy";"Energy"
"BRNT-NOV21";1000.0;2;"USD";72.45;"Energy";"Energy"
"HOIL-OCT21";42000.0;2;"USD";2.1382;"Energy";"Energy"
"BRNT#-NOV21";1000.0;2;"USD";72.43;"Forex";"Fixed"
"NK-DEC21";10.0;2;"USD";30039.75;"Indecies";"Indecies"
"NK#-DEC21";10.0;2;"USD";30047.0;"Forex";"Fixed"
"NSDQ-DEC21";100.0;2;"USD";15652.25;"Indecies";"Indecies"
"DOW-DEC21";10.0;2;"USD";34959.0;"Indecies";"Indecies"
"SP-DEC21";100.0;2;"USD";4507.62;"Indecies";"Indecies"
"CAC-OCT21";10.0;2;"EUR";6683.5;"Indecies";"Indecies"
"DAX-DEC21";10.0;2;"EUR";15710.0;"Indecies";"Indecies"
"FTSE-DEC21";10.0;2;"GBP";7078.25;"Indecies";"Indecies"
"MIB-DEC21";100.0;2;"EUR";25642.5;"Indecies";"Indecies"
"IBEX-OCT21";100.0;2;"EUR";8849.0;"Indecies";"Indecies"
"DJEXX-DEC21";10.0;2;"EUR";4171.22;"Indecies";"Indecies"
"ASX-DEC21";100.0;2;"AUD";7471.75;"Indecies";"Indecies"
"COCOA-DEC21";100.0;2;"USD";2702.75;"Commodities";"Commodities"
"CORN-DEC21";100.0;2;"USD";513.13;"Commodities";"Commodities"
"SBEAN-NOV21";100.0;2;"USD";1283.2;"Commodities";"Commodities"
"WHEATDEC21";100.0;2;"USD";719.78;"Commodities";"Commodities"
"JSE-DEC21";100.0;2;"ZAR";59981.0;"Indecies";"Indecies"
"$IND-DEC21";100.0;2;"USD";92.674;"Indecies";"Indecies"
"RUSS-DEC21";100.0;2;"USD";2270.0;"Indecies";"Indecies"
"RICE-NOV21";100.0;2;"USD";13.32;"Commodities";"Commodities"
"NSDQ#-DEC21";100.0;2;"USD";15652.75;"Forex";"Fixed"
"DOW#-DEC21";10.0;2;"USD";34957.5;"Forex";"Fixed"
"SP#-DEC21";100.0;2;"USD";4506.87;"Forex";"Fixed"
"CAC#-OCT21";10.0;2;"EUR";6682.75;"Forex";"Fixed"
"DAX#-DEC21";10.0;2;"EUR";15708.5;"Forex";"Fixed"
"FTSE#-DEC21";10.0;2;"GBP";7078.0;"Forex";"Fixed"
"MIB#-DEC21";100.0;2;"EUR";25625.0;"Forex";"Fixed"
"IBEX#-OCT21";100.0;2;"EUR";8848.75;"Forex";"Fixed"
"DJEX#-DEC21";10.0;2;"EUR";4170.75;"Forex";"Fixed"
"ASX#-DEC21";100.0;2;"AUD";7473.5;"Forex";"Fixed"
"JSE#-DEC21";100.0;2;"ZAR";59992.25;"Forex";"Fixed"
"$IND#-DEC21";100.0;2;"USD";92.676;"Forex";"Fixed"
"LUMBER-NOV21";100.0;2;"USD";610.6;"Commodities";"Commodities"
"OATS-DEC21";100.0;2;"USD";502.26;"Commodities";"Commodities"
"ORANG-NOV21";100.0;2;"USD";141.75;"Commodities";"Commodities"
