"CustomerID";"FDP_Date";"FDP_Time";"FDPd";"REGdFDP";"BrandID";"CompID"
5239715;"19/08/2019";1117;750.8333;0;4;2
5239727;"19/08/2019";788;751.0833;0;4;2
5239748;"19/08/2019";831;751.0417;0;4;2
5239832;"22/08/2019";585;748.2083;3;4;2
5239903;"19/08/2019";1138;750.8333;0;3;2
5239910;"09/09/2019";737;730.0833;21;4;2
5239924;"16/04/2020";1026;509.9167;241;4;2
5239931;"03/09/2019";1170;735.7917;15;4;2
5239974;"20/08/2019";693;750.125;1;3;2
5239975;"20/08/2019";1052;749.875;1;3;2
5239985;"21/08/2019";569;749.2083;2;5;2
5239989;"20/08/2019";588;750.2083;1;4;2
5240004;"18/09/2019";720;721.125;30;4;18
5240020;"21/08/2019";671;749.1667;2;4;2
5240055;"16/04/2020";885;510.0;240;4;2
5240077;"24/12/2019";891;624.0;126;4;12
5240101;"29/08/2019";893;741.0;9;4;2
5240160;"29/08/2019";975;740.9167;9;4;2
5240173;"30/09/2019";696;709.125;41;4;2
5240202;"20/08/2019";1017;749.9167;0;4;2
5240211;"20/08/2019";940;749.9583;0;4;2
5240261;"22/08/2019";662;748.1667;2;3;2
5240366;"06/08/2020";680;398.125;352;4;2
5240397;"01/09/2019";857;738.0;12;4;2
5240409;"20/08/2019";763;750.0833;0;3;2
5240449;"01/09/2019";1046;737.875;12;4;2
5240455;"21/08/2019";795;749.0417;1;4;2
5240472;"20/08/2019";823;750.0417;0;4;2
5240483;"07/10/2019";781;702.0833;48;4;2
5240490;"21/08/2019";676;749.125;1;4;2
5240520;"20/08/2019";1050;749.875;0;4;2
5240597;"20/08/2019";950;749.9583;0;4;2
5240609;"04/09/2019";870;735.0;15;4;2
5240635;"26/08/2019";622;744.1667;6;4;2
5240756;"25/08/2019";837;745.0417;5;4;2
5240766;"21/08/2019";1243;748.75;1;4;2
5240847;"20/08/2019";1423;749.625;0;4;2
5240878;"23/08/2019";1397;746.625;2;4;2
5240942;"18/11/2019";1068;659.875;89;4;2
5240977;"21/08/2019";695;749.125;0;4;2
5241014;"22/08/2019";660;748.1667;1;4;2
5241034;"22/08/2019";560;748.2083;1;4;2
5241046;"21/08/2019";1225;748.75;0;4;2
5241087;"21/08/2019";768;749.0833;0;4;2
5241155;"21/08/2019";545;749.25;0;4;2
5241157;"29/08/2019";610;741.2083;8;4;2
5241300;"08/09/2019";645;731.1667;18;4;2
5241317;"21/08/2019";1041;748.875;0;4;2
5241343;"27/08/2019";932;742.9583;6;4;2
5241351;"21/08/2019";716;749.125;0;4;2
5241418;"29/03/2020";1121;527.8333;221;4;2
5241451;"30/09/2019";606;709.2083;40;4;2
5241463;"25/08/2019";999;744.9167;4;4;2
5241472;"29/12/2019";605;619.2083;130;4;2
5241495;"22/08/2019";574;748.2083;1;4;2
5241511;"24/03/2020";1088;532.875;216;4;2
5241534;"21/08/2019";820;749.0417;0;4;2
5241580;"27/08/2019";928;742.9583;6;3;2
5241595;"25/08/2019";1102;744.8333;4;4;2
5241598;"04/10/2020";1198;338.7917;410;4;2
5241615;"25/08/2019";1068;744.875;4;4;2
5241692;"10/09/2019";1020;728.9167;20;3;2
5241701;"21/08/2019";1038;748.875;0;4;18
5241769;"22/08/2019";957;747.9583;1;4;2
5241801;"01/09/2019";822;738.0417;11;4;2
5241809;"25/08/2019";760;745.0833;4;4;2
5241812;"21/08/2019";1164;748.7917;0;4;2
5241828;"07/05/2020";588;489.2083;260;4;2
5241829;"01/09/2019";608;738.2083;11;4;2
5241852;"29/08/2019";1124;740.8333;8;4;2
5241882;"03/09/2019";853;736.0417;13;4;2
5241883;"06/01/2020";971;610.9583;138;4;2
5241923;"22/08/2019";722;748.125;1;4;2
5241978;"22/08/2019";764;748.0833;0;4;2
5242039;"22/08/2019";717;748.125;0;4;2
5242058;"29/10/2019";362;680.375;68;4;2
5242101;"25/08/2019";1006;744.9167;3;4;2
5242201;"22/08/2019";800;748.0417;0;4;2
5242217;"22/08/2019";659;748.1667;0;4;2
5242225;"19/09/2019";866;720.0;28;3;2
5242274;"25/09/2019";1003;713.9167;34;5;2
